Country,Crop,Element,Unit,Year,Yield_kg_ha
Brazil,Soybean,Yield,kg/ha,1961,1126.9
Brazil,Soybean,Yield,kg/ha,1962,1100.5
Brazil,Soybean,Yield,kg/ha,1963,950.3
Brazil,Soybean,Yield,kg/ha,1964,847.8
Brazil,Soybean,Yield,kg/ha,1965,1211.5
Brazil,Soybean,Yield,kg/ha,1966,1212.5
Brazil,Soybean,Yield,kg/ha,1967,1169.1
Brazil,Soybean,Yield,kg/ha,1968,906.6
Brazil,Soybean,Yield,kg/ha,1969,1166.1
Brazil,Soybean,Yield,kg/ha,1970,1143.9
Brazil,Soybean,Yield,kg/ha,1971,1210.2
Brazil,Soybean,Yield,kg/ha,1972,1470.5
Brazil,Soybean,Yield,kg/ha,1973,1386.3
Brazil,Soybean,Yield,kg/ha,1974,1531.4
Brazil,Soybean,Yield,kg/ha,1975,1698.5
Brazil,Soybean,Yield,kg/ha,1976,1749.8
Brazil,Soybean,Yield,kg/ha,1977,1769.9
Brazil,Soybean,Yield,kg/ha,1978,1226.0
Brazil,Soybean,Yield,kg/ha,1979,1240.3
Brazil,Soybean,Yield,kg/ha,1980,1727.3
Brazil,Soybean,Yield,kg/ha,1981,1765.3
Brazil,Soybean,Yield,kg/ha,1982,1564.7
Brazil,Soybean,Yield,kg/ha,1983,1792.1
Brazil,Soybean,Yield,kg/ha,1984,1649.6
Brazil,Soybean,Yield,kg/ha,1985,1800.2
Brazil,Soybean,Yield,kg/ha,1986,1452.2
Brazil,Soybean,Yield,kg/ha,1987,1859.5
Brazil,Soybean,Yield,kg/ha,1988,1712.4
Brazil,Soybean,Yield,kg/ha,1989,1971.4
Brazil,Soybean,Yield,kg/ha,1990,1732.2
Brazil,Soybean,Yield,kg/ha,1991,1553.3
Brazil,Soybean,Yield,kg/ha,1992,2035.2
Brazil,Soybean,Yield,kg/ha,1993,2124.1
Brazil,Soybean,Yield,kg/ha,1994,2163.2
Brazil,Soybean,Yield,kg/ha,1995,2199.8
Brazil,Soybean,Yield,kg/ha,1996,2249.3
Brazil,Soybean,Yield,kg/ha,1997,2297.7
Brazil,Soybean,Yield,kg/ha,1998,2353.3
Brazil,Soybean,Yield,kg/ha,1999,2372.4
Brazil,Soybean,Yield,kg/ha,2000,2403.3
Brazil,Soybean,Yield,kg/ha,2001,2710.5
Brazil,Soybean,Yield,kg/ha,2002,2573.9
Brazil,Soybean,Yield,kg/ha,2003,2802.7
Brazil,Soybean,Yield,kg/ha,2004,2300.5
Brazil,Soybean,Yield,kg/ha,2005,2230.3
Brazil,Soybean,Yield,kg/ha,2006,2379.6
Brazil,Soybean,Yield,kg/ha,2007,2813.3
Brazil,Soybean,Yield,kg/ha,2008,2816.2
Brazil,Soybean,Yield,kg/ha,2009,2636.5
Brazil,Soybean,Yield,kg/ha,2010,2947.5
Brazil,Soybean,Yield,kg/ha,2011,3121.4
Brazil,Soybean,Yield,kg/ha,2012,2636.6
Brazil,Soybean,Yield,kg/ha,2013,2928.5
Brazil,Soybean,Yield,kg/ha,2014,2865.9
Brazil,Soybean,Yield,kg/ha,2015,3028.6
Brazil,Soybean,Yield,kg/ha,2016,2904.9
Brazil,Soybean,Yield,kg/ha,2017,3378.5
Brazil,Soybean,Yield,kg/ha,2018,3390.4
Brazil,Soybean,Yield,kg/ha,2019,3184.7
Brazil,Soybean,Yield,kg/ha,2020,3275.5
Brazil,Soybean,Yield,kg/ha,2021,3445.2
Brazil,Soybean,Yield,kg/ha,2022,2954.6
Brazil,Soybean,Yield,kg/ha,2023,3423.0
