Country,Year,Crop,Nutrient,Mean_kg_ha
Brazil,1961,Soybean,K2O,0.01
Brazil,1962,Soybean,K2O,0.01
Brazil,1963,Soybean,K2O,0.01
Brazil,1964,Soybean,K2O,0.01
Brazil,1965,Soybean,K2O,0.01
Brazil,1966,Soybean,K2O,0.01
Brazil,1967,Soybean,K2O,0.02
Brazil,1968,Soybean,K2O,0.04
Brazil,1969,Soybean,K2O,0.04
Brazil,1970,Soybean,K2O,0.13
Brazil,1971,Soybean,K2O,0.13
Brazil,1972,Soybean,K2O,0.2
Brazil,1973,Soybean,K2O,0.42
Brazil,1974,Soybean,K2O,0.69
Brazil,1975,Soybean,K2O,0.58
Brazil,1976,Soybean,K2O,0.84
Brazil,1977,Soybean,K2O,0.99
Brazil,1978,Soybean,K2O,0.81
Brazil,1979,Soybean,K2O,1.13
Brazil,1980,Soybean,K2O,1.36
Brazil,1981,Soybean,K2O,0.88
Brazil,1982,Soybean,K2O,0.92
Brazil,1983,Soybean,K2O,0.79
Brazil,1984,Soybean,K2O,1.07
Brazil,1985,Soybean,K2O,1.11
Brazil,1986,Soybean,K2O,1.19
Brazil,1987,Soybean,K2O,1.0
Brazil,1988,Soybean,K2O,1.27
Brazil,1989,Soybean,K2O,1.55
Brazil,1990,Soybean,K2O,1.09
Brazil,1991,Soybean,K2O,1.0
Brazil,1992,Soybean,K2O,0.99
Brazil,1993,Soybean,K2O,1.55
Brazil,1994,Soybean,K2O,1.9
Brazil,1995,Soybean,K2O,1.88
Brazil,1996,Soybean,K2O,1.69
Brazil,1997,Soybean,K2O,2.36
Brazil,1998,Soybean,K2O,2.66
Brazil,1999,Soybean,K2O,1.92
Brazil,2000,Soybean,K2O,2.8
Brazil,2001,Soybean,K2O,4.08
Brazil,2002,Soybean,K2O,5.07
Brazil,2003,Soybean,K2O,7.17
Brazil,2004,Soybean,K2O,7.7
Brazil,2005,Soybean,K2O,4.92
Brazil,2006,Soybean,K2O,8.02
Brazil,2007,Soybean,K2O,10.15
Brazil,2008,Soybean,K2O,8.37
Brazil,2009,Soybean,K2O,3.56
Brazil,2010,Soybean,K2O,9.78
Brazil,2011,Soybean,K2O,10.65
Brazil,2012,Soybean,K2O,9.0
Brazil,2013,Soybean,K2O,11.42
Brazil,2014,Soybean,K2O,13.17
Brazil,2015,Soybean,K2O,12.23
Brazil,2016,Soybean,K2O,13.85
Brazil,2017,Soybean,K2O,15.39
Brazil,2018,Soybean,K2O,18.88
Brazil,2019,Soybean,K2O,17.44
Brazil,1961,Soybean,N,0.0
Brazil,1962,Soybean,N,0.0
Brazil,1963,Soybean,N,0.0
Brazil,1964,Soybean,N,0.0
Brazil,1965,Soybean,N,0.01
Brazil,1966,Soybean,N,0.01
Brazil,1967,Soybean,N,0.0
Brazil,1968,Soybean,N,0.0
Brazil,1969,Soybean,N,0.0
Brazil,1970,Soybean,N,0.04
Brazil,1971,Soybean,N,0.03
Brazil,1972,Soybean,N,0.01
Brazil,1973,Soybean,N,0.09
Brazil,1974,Soybean,N,0.18
Brazil,1975,Soybean,N,0.26
Brazil,1976,Soybean,N,0.26
Brazil,1977,Soybean,N,0.4
Brazil,1978,Soybean,N,0.8
Brazil,1979,Soybean,N,0.5
Brazil,1980,Soybean,N,0.66
Brazil,1981,Soybean,N,0.47
Brazil,1982,Soybean,N,0.38
Brazil,1983,Soybean,N,0.2
Brazil,1984,Soybean,N,0.49
Brazil,1985,Soybean,N,0.65
Brazil,1986,Soybean,N,0.0
Brazil,1987,Soybean,N,0.46
Brazil,1988,Soybean,N,0.05
Brazil,1989,Soybean,N,0.01
Brazil,1990,Soybean,N,0.3
Brazil,1991,Soybean,N,0.25
Brazil,1992,Soybean,N,0.21
Brazil,1993,Soybean,N,0.39
Brazil,1994,Soybean,N,0.23
Brazil,1995,Soybean,N,0.36
Brazil,1996,Soybean,N,0.39
Brazil,1997,Soybean,N,0.18
Brazil,1998,Soybean,N,0.29
Brazil,1999,Soybean,N,0.81
Brazil,2000,Soybean,N,0.74
Brazil,2001,Soybean,N,0.65
Brazil,2002,Soybean,N,0.98
Brazil,2003,Soybean,N,0.91
Brazil,2004,Soybean,N,0.94
Brazil,2005,Soybean,N,1.04
Brazil,2006,Soybean,N,0.77
Brazil,2007,Soybean,N,0.51
Brazil,2008,Soybean,N,0.91
Brazil,2009,Soybean,N,0.61
Brazil,2010,Soybean,N,0.68
Brazil,2011,Soybean,N,1.77
Brazil,2012,Soybean,N,1.64
Brazil,2013,Soybean,N,2.02
Brazil,2014,Soybean,N,0.77
Brazil,2015,Soybean,N,1.52
Brazil,2016,Soybean,N,1.74
Brazil,2017,Soybean,N,3.87
Brazil,2018,Soybean,N,1.96
Brazil,2019,Soybean,N,3.28
Brazil,1961,Soybean,P2O5,0.05
Brazil,1962,Soybean,P2O5,0.03
Brazil,1963,Soybean,P2O5,0.05
Brazil,1964,Soybean,P2O5,0.03
Brazil,1965,Soybean,P2O5,0.05
Brazil,1966,Soybean,P2O5,0.04
Brazil,1967,Soybean,P2O5,0.06
Brazil,1968,Soybean,P2O5,0.06
Brazil,1969,Soybean,P2O5,0.08
Brazil,1970,Soybean,P2O5,0.25
Brazil,1971,Soybean,P2O5,0.31
Brazil,1972,Soybean,P2O5,0.5
Brazil,1973,Soybean,P2O5,1.01
Brazil,1974,Soybean,P2O5,1.22
Brazil,1975,Soybean,P2O5,1.46
Brazil,1976,Soybean,P2O5,2.12
Brazil,1977,Soybean,P2O5,2.52
Brazil,1978,Soybean,P2O5,2.1
Brazil,1979,Soybean,P2O5,2.72
Brazil,1980,Soybean,P2O5,3.52
Brazil,1981,Soybean,P2O5,2.18
Brazil,1982,Soybean,P2O5,1.86
Brazil,1983,Soybean,P2O5,2.11
Brazil,1984,Soybean,P2O5,2.55
Brazil,1985,Soybean,P2O5,2.21
Brazil,1986,Soybean,P2O5,2.19
Brazil,1987,Soybean,P2O5,1.64
Brazil,1988,Soybean,P2O5,2.3
Brazil,1989,Soybean,P2O5,2.35
Brazil,1990,Soybean,P2O5,1.83
Brazil,1991,Soybean,P2O5,1.58
Brazil,1992,Soybean,P2O5,1.68
Brazil,1993,Soybean,P2O5,2.39
Brazil,1994,Soybean,P2O5,2.8
Brazil,1995,Soybean,P2O5,1.7
Brazil,1996,Soybean,P2O5,2.36
Brazil,1997,Soybean,P2O5,2.79
Brazil,1998,Soybean,P2O5,3.07
Brazil,1999,Soybean,P2O5,2.44
Brazil,2000,Soybean,P2O5,3.42
Brazil,2001,Soybean,P2O5,3.56
Brazil,2002,Soybean,P2O5,4.27
Brazil,2003,Soybean,P2O5,5.11
Brazil,2004,Soybean,P2O5,7.08
Brazil,2005,Soybean,P2O5,5.4
Brazil,2006,Soybean,P2O5,5.62
Brazil,2007,Soybean,P2O5,6.01
Brazil,2008,Soybean,P2O5,6.11
