Country,Year,Crop,Yield_kg_ha,K2O_kg_ha,N_kg_ha,P2O5_kg_ha
Brazil,1961,Soybean,1126.9,0.01,0.0,0.05
Brazil,1962,Soybean,1100.5,0.01,0.0,0.03
Brazil,1963,Soybean,950.3,0.01,0.0,0.05
Brazil,1964,Soybean,847.8,0.01,0.0,0.03
Brazil,1965,Soybean,1211.5,0.01,0.01,0.05
Brazil,1966,Soybean,1212.5,0.01,0.01,0.04
Brazil,1967,Soybean,1169.1,0.02,0.0,0.06
Brazil,1968,Soybean,906.6,0.04,0.0,0.06
Brazil,1969,Soybean,1166.1,0.04,0.0,0.08
Brazil,1970,Soybean,1143.9,0.13,0.04,0.25
Brazil,1971,Soybean,1210.2,0.13,0.03,0.31
Brazil,1972,Soybean,1470.5,0.2,0.01,0.5
Brazil,1973,Soybean,1386.3,0.42,0.09,1.01
Brazil,1974,Soybean,1531.4,0.69,0.18,1.22
Brazil,1975,Soybean,1698.5,0.58,0.26,1.46
Brazil,1976,Soybean,1749.8,0.84,0.26,2.12
Brazil,1977,Soybean,1769.9,0.99,0.4,2.52
Brazil,1978,Soybean,1226.0,0.81,0.8,2.1
Brazil,1979,Soybean,1240.3,1.13,0.5,2.72
Brazil,1980,Soybean,1727.3,1.36,0.66,3.52
Brazil,1981,Soybean,1765.3,0.88,0.47,2.18
Brazil,1982,Soybean,1564.7,0.92,0.38,1.86
Brazil,1983,Soybean,1792.1,0.79,0.2,2.11
Brazil,1984,Soybean,1649.6,1.07,0.49,2.55
Brazil,1985,Soybean,1800.2,1.11,0.65,2.21
Brazil,1986,Soybean,1452.2,1.19,0.0,2.19
Brazil,1987,Soybean,1859.5,1.0,0.46,1.64
Brazil,1988,Soybean,1712.4,1.27,0.05,2.3
Brazil,1989,Soybean,1971.4,1.55,0.01,2.35
Brazil,1990,Soybean,1732.2,1.09,0.3,1.83
Brazil,1991,Soybean,1553.3,1.0,0.25,1.58
Brazil,1992,Soybean,2035.2,0.99,0.21,1.68
Brazil,1993,Soybean,2124.1,1.55,0.39,2.39
Brazil,1994,Soybean,2163.2,1.9,0.23,2.8
Brazil,1995,Soybean,2199.8,1.88,0.36,1.7
Brazil,1996,Soybean,2249.3,1.69,0.39,2.36
Brazil,1997,Soybean,2297.7,2.36,0.18,2.79
Brazil,1998,Soybean,2353.3,2.66,0.29,3.07
Brazil,1999,Soybean,2372.4,1.92,0.81,2.44
Brazil,2000,Soybean,2403.3,2.8,0.74,3.42
Brazil,2001,Soybean,2710.5,4.08,0.65,3.56
Brazil,2002,Soybean,2573.9,5.07,0.98,4.27
Brazil,2003,Soybean,2802.7,7.17,0.91,5.11
Brazil,2004,Soybean,2300.5,7.7,0.94,7.08
Brazil,2005,Soybean,2230.3,4.92,1.04,5.4
Brazil,2006,Soybean,2379.6,8.02,0.77,5.62
Brazil,2007,Soybean,2813.3,10.15,0.51,6.01
Brazil,2008,Soybean,2816.2,8.37,0.91,6.11
Brazil,2009,Soybean,2636.5,3.56,0.61,4.26
Brazil,2010,Soybean,2947.5,9.78,0.68,5.71
Brazil,2011,Soybean,3121.4,10.65,1.77,8.57
Brazil,2012,Soybean,2636.6,9.0,1.64,8.25
Brazil,2013,Soybean,2928.5,11.42,2.02,10.69
Brazil,2014,Soybean,2865.9,13.17,0.77,9.84
Brazil,2015,Soybean,3028.6,12.23,1.52,10.27
Brazil,2016,Soybean,2904.9,13.85,1.74,9.54
Brazil,2017,Soybean,3378.5,15.39,3.87,11.23
Brazil,2018,Soybean,3390.4,18.88,1.96,12.71
Brazil,2019,Soybean,3184.7,17.44,3.28,11.44
